task_id,legacy_task_id,scenario,scenario_zh,difficulty,analysis_dimension,uses_gis,change_type,question,supplementary_notes,output_contract
X14,C14,cross_modal,多方式联合查询,难,热点差集,False,修订,共享单车锁车量全天前20名中，哪些网格没有进入网约车下客前20名？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""共享单车锁车和网约车下客分别按全天量降序、geohash升序固定取前20个候选网格；最终返回共享单车候选集合与网约车候选集合的差集，最终行数不固定。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""bike_locks"",""type"":""integer"",""nullable"":false},{""name"":""bike_rank"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X15,C15,cross_modal,多方式联合查询,难,共同范围排名,False,修订,在三项指标都有观测的网格中分别排名，哪些网格在出租车下客、网约车下客和共享单车锁车三项中均进入前200名？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""出租车下客、网约车下客和共享单车锁车分别按全天量降序、geohash升序固定取前200个候选网格；最终只返回三个候选集合的交集，最终行数不固定。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""bike_locks"",""type"":""integer"",""nullable"":false},{""name"":""taxi_rank"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_rank"",""type"":""integer"",""nullable"":false},{""name"":""bike_rank"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X16,C16,cross_modal,多方式联合查询,难,空间排名差,False,修订,在出租车和网约车都有下客观测的网格中，分别按全天下客量从高到低排名；并列值使用相同名次，后续名次不跳号。列出两项名次差最大的10个网格。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""taxi_rank"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_rank"",""type"":""integer"",""nullable"":false},{""name"":""rank_difference"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X17,C17,cross_modal,多方式联合查询,难,热点组合,False,修订,哪些网格正好进入出租车下客、网约车下客、共享单车锁车三类全天前100名中的两类？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""先限定出租车下客、网约车下客和共享单车锁车三项全天量均有观测的共同网格总体，再在该共同总体内将三项分别按全天量降序、geohash升序固定取前100名；最终只返回正好进入其中两个Top-100的网格，最终行数不固定。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""hotspot_pair"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客+网约车下客"",""出租车下客+共享单车锁车"",""网约车下客+共享单车锁车""]},{""name"":""taxi_rank"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_rank"",""type"":""integer"",""nullable"":false},{""name"":""bike_rank"",""type"":""integer"",""nullable"":false}],""notes"":[""hotspot_pair按题目中的指标顺序使用“+”连接。""],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X18,C18,cross_modal,多方式联合查询,难,时段热点,False,修订,早高峰和晚高峰中，出租车与网约车下客量各自前20个网格的交集数、并集数和交并比分别是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""交并比按交集数除以并集数计算。""]","{""columns"":[{""name"":""period"",""type"":""text"",""nullable"":false,""allowed_values"":[""早高峰"",""晚高峰""]},{""name"":""intersection_count"",""type"":""integer"",""nullable"":false},{""name"":""union_count"",""type"":""integer"",""nullable"":false},{""name"":""jaccard"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X19,C19,cross_modal,多方式联合查询,难,局部峰值,False,修订,对于出租车与网约车都有下客观测的网格，只在共同观测小时内比较峰值。峰值小时有重合和无重合的网格分别有多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""peak_relation"",""type"":""text"",""nullable"":false,""allowed_values"":[""峰值小时有重合"",""峰值小时无重合""]},{""name"":""grid_count"",""type"":""integer"",""nullable"":false}]}"
X20,C20,cross_modal,多方式联合查询,难,跨时段交集,False,修订,哪些网格同时进入早高峰共享单车锁车量前200名和晚高峰网约车下客量前200名？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""先限定早高峰共享单车锁车量和晚高峰网约车下客量均有观测的共同网格总体，再在该共同总体内将两项分别按总量降序、geohash升序固定取前200名；最终只返回同时进入两个Top-200的网格，最终行数不固定。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""morning_bike"",""type"":""integer"",""nullable"":false},{""name"":""evening_ridehail"",""type"":""integer"",""nullable"":false},{""name"":""bike_rank"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_rank"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X21,C21,cross_modal,多方式联合查询,难,双序列增长,False,修订,哪些网格在7、8、9时都有网约车下客和共享单车锁车观测，而且两项指标都逐小时增加？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""ridehail_7"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_8"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_9"",""type"":""integer"",""nullable"":false},{""name"":""bike_7"",""type"":""integer"",""nullable"":false},{""name"":""bike_8"",""type"":""integer"",""nullable"":false},{""name"":""bike_9"",""type"":""integer"",""nullable"":false}]}"
X22,C22,cross_modal,多方式联合查询,难,动态热点,False,修订,每个小时分别取出租车下客、网约车下客、共享单车锁车前10名。哪些网格小时至少进入其中两类，并且每小时共有多少个？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""hotspot_types表示该网格小时进入前10名的指标类数。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""hotspot_types"",""type"":""integer"",""nullable"":false},{""name"":""included_metrics"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客+网约车下客"",""出租车下客+共享单车锁车"",""网约车下客+共享单车锁车"",""出租车下客+网约车下客+共享单车锁车""]},{""name"":""qualifying_grids_in_hour"",""type"":""integer"",""nullable"":false}],""notes"":[""included_metrics按出租车、网约车、共享单车顺序使用“+”连接。""],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X23,C23,cross_modal,多方式联合查询,难,局部波动,False,修订,共同观测不少于6个小时且两项均值为正的网格中，网约车下客和共享单车锁车的峰均比差异最大的10个是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""common_hours"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_peak_ratio"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""bike_peak_ratio"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""ratio_difference"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X24,C24,cross_modal,多方式联合查询,难,复合集中,False,修订,按每小时前10个网格占本指标小时总量的比例衡量集中度。哪些小时的网约车下客和共享单车集中度都高于各自小时平均值？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_concentration"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""bike_concentration"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""average_ridehail_concentration"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""average_bike_concentration"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X25,,cross_modal,多方式联合查询,简,总量聚合,False,新增,今天全市地铁进站量和公交客流量分别是多少？公交客流量与地铁进站量之比是多少？比值保留六位小数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""metro_entries"",""type"":""integer"",""nullable"":false},{""name"":""bus_flow"",""type"":""integer"",""nullable"":false},{""name"":""bus_to_metro_ratio"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6}]}"
X26,,cross_modal,多方式联合查询,简,时间聚合,False,新增,按小时给出出租车下客量、网约车下客量和共享单车锁车量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""bike_locks"",""type"":""integer"",""nullable"":false}]}"
X27,,cross_modal,多方式联合查询,中,时间对齐,False,新增,早高峰三个小时中，按小时给出地铁进站量、公交客流量，以及两项分别占各自早高峰总量的百分比。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""metro_entries"",""type"":""integer"",""nullable"":false},{""name"":""bus_flow"",""type"":""integer"",""nullable"":false},{""name"":""metro_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2},{""name"":""bus_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
X28,,cross_modal,多方式联合查询,中,指标差异,False,新增,晚高峰同时有出租车和网约车下客观测的网格中，两项下客量差的绝对值最大的10个网格是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""“同时有观测”按网格层面判断：晚高峰内出租车下客和网约车下客各自至少有一个有效观测小时即可；两项总量分别累计各自全部非NULL观测，不要求同一小时同时非NULL。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""difference"",""type"":""integer"",""nullable"":false}],""notes"":[""difference等于ABS(taxi_dropoffs - ridehail_dropoffs)，返回非负整数。""],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X29,,cross_modal,多方式联合查询,中,多级聚合,False,新增,按GeoHash前5位汇总出租车下客量、网约车下客量和共享单车锁车量，列出三项合计最高的10个区域。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""area5"",""type"":""text"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""bike_locks"",""type"":""integer"",""nullable"":false},{""name"":""combined_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X30,,cross_modal,多方式联合查询,中,时段比较,False,新增,分别给出地铁进站、公交客流量、出租车下客、网约车下客和共享单车锁车的早高峰与晚高峰总量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""mode"",""type"":""text"",""nullable"":false,""allowed_values"":[""地铁进站"",""公交客流量"",""出租车下客"",""网约车下客"",""共享单车锁车""]},{""name"":""morning_total"",""type"":""integer"",""nullable"":false},{""name"":""evening_total"",""type"":""integer"",""nullable"":false}]}"
G01,C25,spatial_gis,GIS空间关联查询,难,空间聚合与排名,True,修订,在早高峰地铁出站量和站点500米内共享单车锁车量都有观测的站中，分别使用RANK排名，找出名次差最大的10个站。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""morning_exit"",""type"":""integer"",""nullable"":false},{""name"":""morning_bike"",""type"":""integer"",""nullable"":false},{""name"":""metro_rank"",""type"":""integer"",""nullable"":false},{""name"":""bike_rank"",""type"":""integer"",""nullable"":false},{""name"":""rank_difference"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
G02,C26,spatial_gis,GIS空间关联查询,中,距离分环与粒度对齐,True,修订,站名为“徐家汇”的地铁站0至300米和300至800米两个范围内，出租车下客、网约车下客和共享单车锁车量每小时分别是多少？完整展示24小时。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""0至300米包含两端；300至800米左开右闭。""]","{""columns"":[{""name"":""ring"",""type"":""text"",""nullable"":false,""allowed_values"":[""0-300"",""300-800""]},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":true},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""bike_locks"",""type"":""integer"",""nullable"":true}]}"
G03,C27,spatial_gis,GIS空间关联查询,难,空间与峰值集合,True,修订,地铁出站量与站点500米内共享单车锁车量共同观测不少于6个小时的站中，两项峰值小时有重合和无重合的站分别有多少？若存在并列峰值，只要两个峰值小时集合有交集即视为有重合。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""peak_relation"",""type"":""text"",""nullable"":false,""allowed_values"":[""峰值小时有重合"",""峰值小时无重合""]},{""name"":""station_count"",""type"":""integer"",""nullable"":false}]}"
G04,C28,spatial_gis,GIS空间关联查询,难,空间与双窗口条件,True,修订,哪些地铁站从早高峰到晚高峰，本站出站量和500米内网约车下客量都增加？只比较六个小时都有观测的站，按网约车增量列出前10个。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""morning_exit"",""type"":""integer"",""nullable"":false},{""name"":""evening_exit"",""type"":""integer"",""nullable"":false},{""name"":""morning_ridehail"",""type"":""integer"",""nullable"":false},{""name"":""evening_ridehail"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_increase"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
G05,C29,spatial_gis,GIS空间关联查询,中,多缓冲区并集,True,修订,所有地铁站500米网格并集内，出租车下客、网约车下客和共享单车锁车全天量分别是多少，各占对应网格总量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""metric"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客"",""网约车下客"",""共享单车锁车""]},{""name"":""covered_total"",""type"":""integer"",""nullable"":false},{""name"":""all_grid_total"",""type"":""integer"",""nullable"":false},{""name"":""covered_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
G06,C30,spatial_gis,GIS空间关联查询,中,空间补集与占比,True,修订,将有出租车或网约车下客观测的网格分成地铁站500米范围内和范围外，分别计算两项指标的早高峰量、全天量和早高峰占比。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""area_type"",""type"":""text"",""nullable"":false,""allowed_values"":[""500米范围内"",""500米范围外""]},{""name"":""metric"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客"",""网约车下客""]},{""name"":""morning_total"",""type"":""integer"",""nullable"":false},{""name"":""daily_total"",""type"":""integer"",""nullable"":false},{""name"":""morning_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
G07,C31,spatial_gis,GIS空间关联查询,难,多归属消歧,True,修订,对于同时位于至少两个地铁站500米内的网格，将其分配给最近站。按归属站汇总晚高峰共享单车锁车量和网约车下客量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""距离相同时按station_id升序选择归属站。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""evening_bike"",""type"":""integer"",""nullable"":true},{""name"":""evening_ridehail"",""type"":""integer"",""nullable"":true}]}"
G08,C32,spatial_gis,GIS空间关联查询,难,双缓冲区集合划分,True,修订,将站名为“徐家汇”和“上海体育馆”的两个地铁站800米范围划分为只靠近徐家汇、只靠近上海体育馆、两站都覆盖三类，比较晚高峰出租车下客、网约车下客和共享单车锁车量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""area_type"",""type"":""text"",""nullable"":false,""allowed_values"":[""只靠近徐家汇"",""只靠近上海体育馆"",""两站都覆盖""]},{""name"":""evening_taxi"",""type"":""integer"",""nullable"":false},{""name"":""evening_ridehail"",""type"":""integer"",""nullable"":false},{""name"":""evening_bike"",""type"":""integer"",""nullable"":false}]}"
G09,C33,spatial_gis,GIS空间关联查询,难,站点与公交线路关联,True,修订,每个地铁站500米内有哪些公交线路？给出线路早高峰客流和观测小时数，以及地铁站早高峰进站量和观测小时数。没有邻近公交线路的站也保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""bus_line_id"",""type"":""integer"",""nullable"":true},{""name"":""line_name"",""type"":""text"",""nullable"":true},{""name"":""morning_bus_flow"",""type"":""integer"",""nullable"":true},{""name"":""bus_observed_hours"",""type"":""integer"",""nullable"":true},{""name"":""morning_entry"",""type"":""integer"",""nullable"":false},{""name"":""metro_observed_hours"",""type"":""integer"",""nullable"":false}]}"
G10,C34,spatial_gis,GIS空间关联查询,中,空间存在与分组筛选,True,修订,哪些公交线路在至少三个不同地铁站500米内？给出邻近站点数和线路全天客流。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""station_count"",""type"":""integer"",""nullable"":false},{""name"":""daily_bus_total"",""type"":""integer"",""nullable"":false}]}"
G11,C35,spatial_gis,GIS空间关联查询,中,双空间条件与线路去重,True,修订,哪些公交线路同时位于站名为“徐家汇”和“上海体育馆”的两个地铁站500米内？只保留早晚高峰六个小时都有记录的线路，并给出两个时段客流。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""morning_total"",""type"":""integer"",""nullable"":false},{""name"":""evening_total"",""type"":""integer"",""nullable"":false},{""name"":""increase"",""type"":""integer"",""nullable"":false}]}"
G12,C36,spatial_gis,GIS空间关联查询,难,线路唯一空间归属,True,修订,将每条公交线路分配给最近且距离不超过500米的地铁站。按地铁站汇总线路数和这些线路的全天客流，同时给出地铁站进站量。所有地铁站都保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""距离相同时按station_id升序选择归属站。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""assigned_lines"",""type"":""integer"",""nullable"":false},{""name"":""assigned_bus_total"",""type"":""integer"",""nullable"":true},{""name"":""metro_entry_total"",""type"":""integer"",""nullable"":false}]}"
G13,C37,spatial_gis,GIS空间关联查询,难,业务选点与空间聚合,True,修订,先取早高峰出站量最大的10个地铁站，再合并其500米网格。出租车下客、网约车下客和共享单车锁车在该范围的全天量，及其占所有地铁站500米网格并集对应指标总量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""metric"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客"",""网约车下客"",""共享单车锁车""]},{""name"":""selected_total"",""type"":""integer"",""nullable"":false},{""name"":""all_station_total"",""type"":""integer"",""nullable"":false},{""name"":""selected_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
G14,C38,spatial_gis,GIS空间关联查询,难,线路拓扑与空间并集,True,修订,按地铁线路合并所属站点500米网格，计算晚高峰网约车下客量和共享单车锁车量，并分别给出线路排名。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""evening_ridehail"",""type"":""integer"",""nullable"":false},{""name"":""evening_bike"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_rank"",""type"":""integer"",""nullable"":false},{""name"":""bike_rank"",""type"":""integer"",""nullable"":false}]}"
G15,C39,spatial_gis,GIS空间关联查询,难,距离加权统计,True,修订,对每个地铁站，分别以800米内共享单车锁车量和网约车下客量为权重计算平均距离。列出两项平均距离之差的绝对值最大的10个站。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""bike_average_distance"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""ridehail_average_distance"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""distance_difference"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6}],""notes"":[""distance_difference等于ABS(bike_average_distance - ridehail_average_distance)。"",""distance_difference使用未提前舍入的两个平均距离计算。""],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
G16,C40,spatial_gis,GIS空间关联查询,难,空间关联与滚动极值,True,修订,对每个地铁站，在500米范围内寻找共享单车锁车和出租车下客各自最高的连续三小时窗口。只使用两项指标在窗口三个小时均有观测的窗口；列出两项最高窗口起点相同的站，并列峰值全部保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""start_hour"",""type"":""integer"",""nullable"":false},{""name"":""bike_window"",""type"":""integer"",""nullable"":false},{""name"":""taxi_window"",""type"":""integer"",""nullable"":false}]}"
G17,C41,spatial_gis,GIS空间关联查询,难,最近邻与业务汇总,True,修订,对每个地铁站，选择2公里内最近的3个其他站，给出本站早高峰进站量、已选邻站中三个小时观测完整的站数及邻站合计；只有所有已选邻站完整时才给出邻站合计。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""邻站距离相同时按nearby_station_id升序选择。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""station_morning_entry"",""type"":""integer"",""nullable"":false},{""name"":""selected_neighbor_count"",""type"":""integer"",""nullable"":false},{""name"":""valid_neighbor_count"",""type"":""integer"",""nullable"":false},{""name"":""neighbor_entry_total"",""type"":""integer"",""nullable"":true}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
G18,C42,spatial_gis,GIS空间关联查询,难,双向邻近与时段差异,True,修订,互为最近邻且距离不超过2公里的地铁站对中，晚高峰出站量差最大的10对是哪些？两站都必须有完整三小时观测；每对中ID较小的站作为station_a。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""最近邻距离相同时按nearby_station_id升序选择。""]","{""columns"":[{""name"":""station_a_id"",""type"":""integer"",""nullable"":false},{""name"":""station_a_name"",""type"":""text"",""nullable"":false},{""name"":""station_b_id"",""type"":""integer"",""nullable"":false},{""name"":""station_b_name"",""type"":""text"",""nullable"":false},{""name"":""distance_m"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6},{""name"":""station_a_exit"",""type"":""integer"",""nullable"":false},{""name"":""station_b_exit"",""type"":""integer"",""nullable"":false},{""name"":""exit_difference"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
G19,C43,spatial_gis,GIS空间关联查询,中,空间增量与线路客流,True,修订,对每个地铁站，找出最近距离大于500米且不超过1000米的公交线路，并给出线路早高峰客流和早高峰观测小时数。没有符合线路的站也保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""bus_line_id"",""type"":""integer"",""nullable"":true},{""name"":""line_name"",""type"":""text"",""nullable"":true},{""name"":""distance_m"",""type"":""number"",""nullable"":true,""minimum_decimal_places"":6},{""name"":""morning_bus_flow"",""type"":""integer"",""nullable"":true},{""name"":""observed_hours"",""type"":""integer"",""nullable"":true}]}"
G20,C44,spatial_gis,GIS空间关联查询,难,空间反连接与双方式汇总,True,修订,哪些地铁站300米内没有公交线路，但300至800米内至少有3条？给出外围线路数、早高峰观测完整线路数、早高峰公交客流量、本站早高峰出站量和本站早高峰观测小时数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""station_id"",""type"":""integer"",""nullable"":false},{""name"":""station_name"",""type"":""text"",""nullable"":false},{""name"":""nearby_lines"",""type"":""integer"",""nullable"":false},{""name"":""complete_lines"",""type"":""integer"",""nullable"":false},{""name"":""morning_bus_total"",""type"":""integer"",""nullable"":false},{""name"":""morning_exit"",""type"":""integer"",""nullable"":false},{""name"":""metro_observed_hours"",""type"":""integer"",""nullable"":false}]}"
